Sample,SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,Cr2O3,Fe2O3,H2O,Reference
JSC-1a,46.6,1.79,16.37,3.79,0.18,8.79,9.96,3.27,0.83,0.71,0.02,7.68,0,"Morrison et al., 2019"
P-MORB,51.0,2.8,14.07,5.98,0.22,5.67,10.47,2.69,0.44,0.0,0.01,6.64,0,"Hofmeister et al., 2016"
NYI-1977,39.57,2.89,14.88,3.76,0.3,4.13,12.16,5.47,5.14,1.47,0.0,10.25,0,"Morrison et al., 2020"
CHW,53.24,1.7,15.75,6.84,0.17,6.43,9.08,2.56,0.68,0.12,0.02,3.41,0,"Sehlke & Whittington, 2016"
Andesite,62.47,0.55,20.03,0.03,0.02,3.22,9.09,3.52,0.93,0.12,0.0,0.0,0,"Richet et al., 1996"
Qtz-latite,67.93,0.95,13.15,3.12,0.1,1.24,2.56,2.69,4.51,0.29,0.0,3.47,0,"Clocchiatti et al., 1994"
LM,42.27,9.56,8.65,5.67,0.1,5.73,12.71,0.34,0.18,0.06,0.01,14.71,0,"Sehlke & Whittington, 2016"
WPVe,56.4,0.3,21.66,1.15,0.13,0.41,3.28,5.34,9.56,0.0,0.0,1.77,0,"Iacono-Marziano et al., 2007"
Ebu-B,75.32,0.0,8.27,0.93,0.0,0.01,0.25,6.83,3.66,0.0,0.0,4.72,0,"Stabile et al., 2016"
ETN,48.82,1.67,16.96,5.03,0.24,5.53,10.15,3.71,1.85,0.01,0.47,5.58,0,"Di Genova et al., 2014"
NVP-Na,55.78,0.9,15.09,0.96,0.25,13.78,4.35,6.34,0.22,0.01,0.18,2.13,0,"Sehlke & Whittington, 2015"
Vul,53.6,0.03,15.52,4.21,0.16,4.89,8.53,3.67,4.73,0.0,0.0,4.67,0,"Vetere et al., 2007"
FR,56.65,0.81,17.95,3.3,0.17,2.36,5.53,4.56,4.54,0.01,0.45,3.66,0,"Di Genova et al., 2014"
AMS_B1,61.27,0.38,18.38,3.5,0.14,0.74,2.97,4.58,8.04,0.0,0.0,0.0,0,"Romano et al., 2003"
PS-GM,69.23,0.5,9.18,3.71,0.32,0.08,0.6,6.52,4.35,0.04,0.0,5.46,0,"Di Genova et al., 2013"
Bas,43.47,3.87,14.9,6.61,0.2,6.01,10.44,4.36,1.79,1.02,0.0,7.33,0,"Di Fiore et al., 2022"
Ves_G,49.51,0.84,16.5,3.62,0.13,5.13,10.26,2.72,6.54,0.72,0.0,4.02,0,Giordano & Dingwell 2003
Ves_W,51.78,0.68,18.81,3.08,0.13,2.53,7.38,3.79,7.99,0.4,0.0,3.42,0,Giordano & Dingwell 2003
A,77.63,0.11,12.73,3.03,0.03,0.06,0.92,4.44,1.62,0.0,0.0,0.0,0,"Di Genova et al., 2017"
