Sample,SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,Cr2O3,Fe2O3,H2O,Reference
Rhyolite,77,0,12,1,0,0,1,3,4,0,0,2,0,author et al. 2026
Trachyte,61,0,18,2,0,1,3,5,8,0,0,2,0,author et al. 2026
Andesite,62,1,17,3,0,3,6,4,1,0,0,3,0,author et al. 2026
Phonolite,60,0,21,1,0,0,2,8,7,0,0,1,0,author et al. 2026
Latite,55,1,19,3,0,2,6,4,5,1,0,4,0,author et al. 2026
Tephri-phonolite,52,1,19,3,0,3,7,4,8,0,0,3,0,author et al. 2026
Basalt,50,1,16,5,0,8,12,3,0,0,0,5,0,author et al. 2026
Phono-tephrite,50,1,18,3,0,3,10,4,7,0,0,4,0,author et al. 2026
Trachybasalt,47,2,17,3,0,5,11,4,2,1,0,8,0,author et al. 2026
Basanite,44,4,15,7,0,6,10,4,2,1,0,7,0,author et al. 2026
